"","x"
"work",142
"compani",107
"like",106
"think",104
"ive",84
"lot",77
"just",77
"rais",58
"salari",52
"can",50
"year",48
"want",46
"will",41
"realli",40
"well",39
"time",38
"increas",37
"good",37
"hope",36
"project",36
"get",36
"past",35
"know",35
"talk",34
"higher",33
"done",32
"manag",31
"yeah",31
"understand",30
"potenti",28
"believ",28
"busi",28
"thank",28
"show",28
"help",28
"someth",27
"thing",27
"month",27
"discuss",26
"pay",26
"convers",23
"much",23
"see",23
"appreci",21
"mani",20
"feel",20
"mayb",20
"that",20
"take",20
"assign",19
"extra",19
"abl",19
"your",19
"actual",18
"taken",18
"ask",18
"three",18
"open",17
"littl",17
"deserv",17
"hard",17
"offic",16
"need",16
"employe",16
"also",16
"job",16
"brought",16
"make",16
"upper",15
"way",15
"okay",15
"great",15
"definit",14
"come",14
"look",14
"kind",14
"dont",13
"award",13
"consid",13
"tri",13
"put",13
"’ve",13
"coupl",13
"one",12
"say",12
"back",12
"numer",12
"product",12
"long",12
"better",12
"posit",12
"give",12
"keep",12
"level",12
"yes",11
"earn",11
"futur",11
"now",11
"led",11
"right",11
"thought",11
"meet",11
"current",10
"impress",10
"move",10
"sir",10
"said",9
"fill",9
"highest",9
"rate",9
"bit",9
"alway",9
"sound",9
"reason",9
"bring",8
"person",8
"anyon",8
"ethic",8
"problem",8
"won",8
"process",8
"’m",8
"stay",8
"’s",8
"role",8
"direct",8
"peopl",8
"anyth",8
"cours",8
"might",8
"obvious",8
"mean",8
"day",8
"group",8
"lead",7
"necessarili",7
"last",7
"havent",7
"continu",7
"dedic",7
"even",7
"grow",7
"success",7
"sure",7
"sinc",7
"there",7
"base",7
"still",7
"let",7
"possibl",6
"receiv",6
"speak",6
"beyond",6
"worker",6
"guess",6
"career",6
"love",6
"end",6
"mind",6
"commit",6
"seen",6
"leader",6
"wasnt",5
"word",5
"opportun",5
"everyth",5
"passion",5
"percent",5
"approv",5
"part",5
"budget",5
"happen",5
"compens",5
"complet",5
"valu",5
"decis",5
"els",5
"gone",5
"pretti",5
"money",5
"within",5
"option",5
"point",5
"fine",5
"fact",4
"includ",4
"final",4
"earlier",4
"never",4
"reflect",4
"expect",4
"next",4
"sever",4
"employ",4
"appli",4
"absolut",4
"shown",4
"fifteen",4
"import",4
"cant",4
"two",4
"whether",4
"moment",4
"wonder",4
"involv",4
"forward",4
"recogn",4
"offer",4
"boss",4
"case",4
"rise",4
"best",4
"order",4
"though",4
"ten",4
"famili",4
"kid",4
"youd",4
"recent",4
"around",4
"task",4
"progress",4
"fix",4
"felt",4
"almost",3
"effort",3
"experi",3
"feedback",3
"record",3
"influenc",3
"applic",3
"ill",3
"present",3
"team",3
"benefit",3
"away",3
"number",3
"whatev",3
"four",3
"today",3
"step",3
"’ll",3
"yet",3
"charg",3
"close",3
"anoth",3
"learn",3
"youv",3
"preschool",3
"start",3
"hate",3
"leav",3
"life",3
"may",3
"request",3
"accomplish",3
"opinion",3
"improv",3
"nice",3
"honest",3
"stand",3
"question",3
"contact",3
"achiev",3
"harder",2
"doesnt",2
"respect",2
"wouldnt",2
"result",2
"youll",2
"head",2
"prove",2
"tell",2
"told",2
"addit",2
"care",2
"goe",2
"interest",2
"along",2
"behalf",2
"stuff",2
"invest",2
"leeway",2
"hello",2
"status",2
"provid",2
"togeth",2
"weve",2
"call",2
"indic",2
"certain",2
"goal",2
"support",2
"excel",2
"chanc",2
"expedit",2
"accord",2
"china",2
"requir",2
"ideal",2
"supervisor",2
"howev",2
"succeed",2
"near",2
"listen",2
"came",2
"use",2
"recommend",2
"connect",2
"don’t",2
"noth",2
"amaz",2
"what",2
"specif",2
"got",2
